country_id,country_name,country_short,country_flag,entry_date
149,Malaysia,MAS,https://images.icc-cricket.com/image/upload/t_team-logo/v1/149.png,2025-05-04
150,Maldives,MDV,https://images.icc-cricket.com/image/upload/t_team-logo/v1/150.png,2025-05-04
151,Mali,MLI,https://images.icc-cricket.com/image/upload/t_team-logo/v1/151.png,2025-05-04
152,Malta,MLT,https://images.icc-cricket.com/image/upload/t_team-logo/v1/152.png,2025-05-04
158,Mexico,MEX,https://images.icc-cricket.com/image/upload/t_team-logo/v1/158.png,2025-05-04
163,Mongolia,MNG,https://images.icc-cricket.com/image/upload/t_team-logo/v1/163.png,2025-05-04
167,Mozambique,MOZ,https://images.icc-cricket.com/image/upload/t_team-logo/v1/167.png,2025-05-04
168,Myanmar,MMR,https://images.icc-cricket.com/image/upload/t_team-logo/v1/168.png,2025-05-04
170,Nepal,NEP,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/170.png?v=8,2025-05-04
176,Nigeria,NGR,https://images.icc-cricket.com/image/upload/t_team-logo/v1/176.png,2025-05-04
180,Norway,NOR,https://images.icc-cricket.com/image/upload/t_team-logo/v1/180.png,2025-05-04
181,Oman,OMN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/181.png?v=8,2025-05-04
183,Panama,PAN,https://images.icc-cricket.com/image/upload/t_team-logo/v1/183.png,2025-05-04
184,Papua New Guinea,PNG,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/184.png?v=8,2025-05-04
187,Philippines,PHI,https://images.icc-cricket.com/image/upload/t_team-logo/v1/187.png,2025-05-04
190,Portugal,POR,https://images.icc-cricket.com/image/upload/t_team-logo/v1/190.png,2025-05-04
192,Qatar,QAT,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/192.png?v=8,2025-05-04
194,Romania,ROM,https://images.icc-cricket.com/image/upload/t_team-logo/v1/194.png,2025-05-04
196,Rwanda,RWA,https://images.icc-cricket.com/image/upload/t_team-logo/v1/196.png,2025-05-04
202,Samoa,SAM,https://images.icc-cricket.com/image/upload/t_team-logo/v1/202.png,2025-05-04
205,Saudi Arabia,SDA,https://images.icc-cricket.com/image/upload/t_team-logo/v1/205.png,2025-05-04
207,Serbia,SER,https://images.icc-cricket.com/image/upload/t_team-logo/v1/207.png,2025-05-04
208,Seychelles,SEY,https://images.icc-cricket.com/image/upload/t_team-logo/v1/208.png,2025-05-04
209,Sierra Leone,SRL,https://images.icc-cricket.com/image/upload/t_team-logo/v1/209.png,2025-05-04
210,Singapore,SIN,https://images.icc-cricket.com/image/upload/t_team-logo/v1/210.png,2025-05-04
212,Slovenia,SVN,https://images.icc-cricket.com/image/upload/t_team-logo/v1/212.png,2025-05-04
216,Spain,ESP,https://images.icc-cricket.com/image/upload/t_team-logo/v1/216.png,2025-05-04
219,St.Helena,SHN,https://images.icc-cricket.com/image/upload/t_team-logo/v1/219.png,2025-05-04
221,Suriname,SUR,https://images.icc-cricket.com/image/upload/t_team-logo/v1/221.png,2025-05-04
223,Swaziland,SWZ,https://images.icc-cricket.com/image/upload/t_team-logo/v1/223.png,2025-05-04
224,Sweden,"SWE ",https://images.icc-cricket.com/image/upload/t_team-logo/v1/224.png,2025-05-04
225,Switzerland,CHE,https://images.icc-cricket.com/image/upload/t_team-logo/v1/225.png,2025-05-04
229,Tanzania,TAN,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/229.png?v=8,2025-05-04
230,Thailand,THA,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/230.png?v=8,2025-05-04
236,Turkiye,"TUR ",https://images.icc-cricket.com/image/upload/t_team-logo/v1/236.png,2025-05-04
240,Uganda,UGN,https://images.icc-cricket.com/image/upload/t_team-logo/v1/240.png,2025-05-04
242,United Kingdom,GBR,https://images.icc-cricket.com/image/upload/t_team-logo/v1/242.png,2025-05-04
247,Vanuatu,VUT,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/247.png?v=8,2025-05-04
259,Jersey,JSY,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/259.png?v=8,2025-05-04
262,Afghanistan,AFG,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/262.png?v=8,2025-05-04
270,Guernsey,GSY,https://images.icc-cricket.com/image/upload/t_team-logo/v1/270.png,2025-05-04
272,Isle of Man,IOM,https://assets-icc.sportz.io/static-assets/buildv3-stg/images/teams/272.png?v=8,2025-05-04
